,produto,valor
0,iPhone 11 64GB Preto iOS 4G Câmera 12MP - Apple,"R$5.390,34"
1,iPhone XS 64GB Dourado (Dourado),"R$4.599,00"
2,"Iphone Xr Apple Preto, 128gb Desbloqueado - Mry92br/a",Preço à tratar com vendedores.
3,Smartphone Xiaomi Redmi Note 8 64gb Moonlight (Branco),"R$1.475,32"
4,Xiaomi Redmi Note 9 128GB 4GB RAM - Versão Global - Midnight Grey,"R$1.619,00"
5,"Apple iPhone 8 Cinza Espacial 64GB com 4,7"", iOS 11, Processador A11, 4G, Câmera de 12 MP Desbloqueado",Preço à tratar com vendedores.
6,"Iphone 11 Pro Max Apple Verde meia-noite, 64gb Desbloqueado - Mwhh2bz/a","R$7.969,00"
7,Celular Apple iPhone 11 Pro 64gb / Tela 5.8'' / 12MP / iOS 13,Preço à tratar com vendedores.
8,Iphone 11 128Gb Branco iOS 4G Wi-Fi Câmera 12Mp - Apple,"R$5.990,34"
9,"Capa Impact Pro, GEONAV, iPhone 7, iPhone 8, Capa Anti-Impacto, Branco/Transparente, 70 x 140 x 10 mm","R$58,37"
10,"Iphone 8 Plus Apple Cinza Espacial, 128gb Desbloqueado - Mx242br/a","R$5.299,90"
11,"Iphone Xr Apple Preto, 64gb Desbloqueado - Mry42br/a",Preço à tratar com vendedores.
12,"Smartphone, Apple, iPhone 7 MN912BR/A, 32 GB, 4.7'', Rosa/Dourado",Preço à tratar com vendedores.
13,iPhone 6s Plus 32GB Cinza Espacial,Preço à tratar com vendedores.
14,iPhone 11 Pro Max 64 GB Tela 6.5 Polegadas,"R$8.199,90"
15,"Cabo Lightning Certificado Apple MFi, Anker Powerline II, 1.8 metros, 12x mais resistente, Preto","R$89,90"
16,"Película De Privacidade Vidro Temperado Para Apple iPhone 11 e Xr Tela 6.1"" Polegadas Proteção Anti Impacto E Curioso Top Spy Premium 3d - Danet","R$49,99"
